year,station_id,month,day,date,delta_stage_max,discharge,stage_avg,stage_min,stage_max,temp,water_code,ice_thickness,snow_height,place
1993,3030,5,123,1993-05-03,5.0,,130.0,129.0,131.0,,47,,,
1993,3030,5,124,1993-05-04,8.0,,136.0,133.0,139.0,,47,,,
1997,3030,4,118,1997-04-28,-150.0,,590.0,560.0,620.0,,"12, 9",,,
1997,3030,4,119,1997-04-29,85.0,,693.0,680.0,705.0,,9,,,
1997,3030,4,120,1997-04-30,81.0,,758.0,730.0,786.0,,9,,,
1997,3030,5,121,1997-05-01,-92.0,,649.0,603.0,694.0,0.0,"8,27",,,
1997,3030,5,122,1997-05-02,-182.0,,506.0,500.0,512.0,0.0,"8,27",,,
1997,3030,5,123,1997-05-03,-24.0,,482.0,476.0,488.0,0.1,"8,27",,,
1997,3030,5,124,1997-05-04,-23.0,,454.0,442.0,465.0,0.4,"8,27",,,
2001,3030,4,118,2001-04-28,-1.0,,83.0,80.0,86.0,,16,,,
2001,3030,4,119,2001-04-29,8.0,,93.0,91.0,94.0,,16,,,
2001,3030,4,120,2001-04-30,6.0,,98.0,96.0,100.0,,16,115.0,25.0,1.0
2001,3030,5,121,2001-05-01,3.0,,103.0,103.0,103.0,,16,,,
2001,3030,5,122,2001-05-02,4.0,,107.0,107.0,107.0,,16,,,
2001,3030,5,123,2001-05-03,2.0,,109.0,109.0,109.0,,16,,,
2001,3030,5,124,2001-05-04,8.0,,114.0,111.0,117.0,,16,,,
2004,3030,4,119,2004-04-28,1.0,,44.0,44.0,44.0,,15,,,
2004,3030,4,120,2004-04-29,1.0,,45.0,45.0,45.0,,15,,,
2004,3030,4,121,2004-04-30,0.0,,45.0,45.0,45.0,,15,,,
2004,3030,5,122,2004-05-01,1.0,,45.0,43.0,46.0,,15,,,
2004,3030,5,123,2004-05-02,4.0,,50.0,49.0,50.0,,15,,,
2004,3030,5,124,2004-05-03,3.0,,52.0,51.0,53.0,,15,,,
2004,3030,5,125,2004-05-04,3.0,,56.0,55.0,56.0,,15,,,
2012,3030,4,119,2012-04-28,3.0,,65.0,64.0,66.0,,47,,,
2012,3030,4,120,2012-04-29,9.0,,72.0,68.0,75.0,,47,,,
2012,3030,4,121,2012-04-30,10.0,,84.0,82.0,85.0,,47,118.0,21.0,1.0
2012,3030,5,122,2012-05-01,8.0,,91.0,88.0,93.0,,47,,,
2012,3030,5,123,2012-05-02,8.0,,100.0,99.0,101.0,,47,,,
2012,3030,5,124,2012-05-03,5.0,,105.0,103.0,106.0,,47,,,
2012,3030,5,125,2012-05-04,8.0,,112.0,109.0,114.0,,47,,,
1993,3035,4,118,1993-04-28,4.0,,65.0,64.0,66.0,,47,,,
1993,3035,4,119,1993-04-29,3.0,,68.0,67.0,69.0,,47,,,
1993,3035,4,120,1993-04-30,4.0,,72.0,71.0,73.0,,47,122.0,,1.0
1993,3035,5,121,1993-05-01,6.0,,78.0,76.0,79.0,,47,,,
1993,3035,5,122,1993-05-02,6.0,,83.0,81.0,85.0,,47,,,
1993,3035,5,123,1993-05-03,8.0,,92.0,90.0,93.0,,47,,,
1993,3035,5,124,1993-05-04,14.0,,104.0,101.0,107.0,,47,,,
1997,3035,4,118,1997-04-28,25.0,,150.0,145.0,154.0,0.0,23,,,
1997,3035,4,119,1997-04-29,82.0,,216.0,195.0,236.0,0.0,23,,,
1997,3035,4,120,1997-04-30,140.0,,327.0,277.0,376.0,0.0,"25,23",,,
1997,3035,5,121,1997-05-01,242.0,,542.0,406.0,618.0,0.0,"9,26,25",,,
1997,3035,5,122,1997-05-02,212.0,,699.0,611.0,830.0,0.0,"9, 8,27",,,
1997,3035,5,123,1997-05-03,201.0,,916.0,857.0,1031.0,0.0,"12, 9, 8",,,
1997,3035,5,124,1997-05-04,23.0,,922.0,762.0,1054.0,0.0,"12, 8",,,
2001,3035,4,118,2001-04-28,0.0,,39.0,39.0,39.0,,16,,,
2001,3035,4,119,2001-04-29,2.0,,40.0,39.0,41.0,,16,,,
2001,3035,4,120,2001-04-30,2.0,,43.0,43.0,43.0,,16,106.0,0.0,1.0
2001,3035,5,121,2001-05-01,-1.0,,42.0,42.0,42.0,,16,,,
2001,3035,5,122,2001-05-02,0.0,,42.0,42.0,42.0,,16,,,
2001,3035,5,123,2001-05-03,5.0,,47.0,46.0,47.0,,16,,,
2001,3035,5,124,2001-05-04,-1.0,,46.0,46.0,46.0,,16,,,
2004,3035,4,119,2004-04-28,0.0,,19.0,19.0,19.0,,16,,,
2004,3035,4,120,2004-04-29,0.0,,19.0,19.0,19.0,,16,,,
2004,3035,4,121,2004-04-30,4.0,,22.0,21.0,23.0,,16,90.0,,1.0
2004,3035,5,122,2004-05-01,2.0,,24.0,23.0,25.0,,16,,,
2004,3035,5,123,2004-05-02,1.0,,26.0,26.0,26.0,,16,,,
2004,3035,5,124,2004-05-03,1.0,,27.0,27.0,27.0,,16,,,
2004,3035,5,125,2004-05-04,3.0,,30.0,29.0,30.0,,16,,,
2012,3035,4,119,2012-04-28,2.0,,54.0,53.0,54.0,,"16,47",,,
2012,3035,4,120,2012-04-29,1.0,,55.0,55.0,55.0,,"16,47",,,
2012,3035,4,121,2012-04-30,2.0,,57.0,56.0,57.0,,16,68.0,11.0,1.0
2012,3035,5,122,2012-05-01,1.0,,58.0,58.0,58.0,,16,,,
2012,3035,5,123,2012-05-02,2.0,,60.0,59.0,60.0,,47,,,
2012,3035,5,124,2012-05-03,0.0,,60.0,60.0,60.0,,47,,,
2012,3035,5,125,2012-05-04,3.0,,63.0,62.0,63.0,,47,,,
1993,3041,4,118,1993-04-28,3.0,,2.0,0.0,3.0,,46,,,
1993,3041,4,119,1993-04-29,-3.0,,0.0,0.0,0.0,,46,,,
1993,3041,4,120,1993-04-30,3.0,,3.0,3.0,3.0,,46,123.0,18.0,1.0
1993,3041,5,121,1993-05-01,6.0,,7.0,5.0,9.0,,46,,,
1993,3041,5,122,1993-05-02,1.0,,10.0,9.0,10.0,,47,,,
1993,3041,5,123,1993-05-03,5.0,,15.0,15.0,15.0,,47,,,
1993,3041,5,124,1993-05-04,8.0,,20.0,17.0,23.0,,46,,,
1997,3041,4,118,1997-04-28,6.0,,84.0,82.0,86.0,,46,,,
1997,3041,4,119,1997-04-29,6.0,,91.0,89.0,92.0,,"16,46",,,
1997,3041,4,120,1997-04-30,13.0,,101.0,97.0,105.0,,"16,46",131.0,,1.0
1997,3041,5,121,1997-05-01,23.0,,119.0,110.0,128.0,,"16,47",,,
1997,3041,5,122,1997-05-02,22.0,,141.0,131.0,150.0,,47,,,
1997,3041,5,123,1997-05-03,37.0,,176.0,164.0,187.0,,47,,,
1997,3041,5,124,1997-05-04,60.0,,232.0,216.0,247.0,,"23,47",,,
2001,3041,4,118,2001-04-28,0.0,,91.0,91.0,91.0,,16,,,
2001,3041,4,119,2001-04-29,2.0,,93.0,93.0,93.0,,16,,,
2001,3041,4,120,2001-04-30,0.0,,93.0,93.0,93.0,,16,178.0,2.0,1.0
2001,3041,5,121,2001-05-01,3.0,,96.0,95.0,96.0,,16,,,
2001,3041,5,122,2001-05-02,4.0,,99.0,98.0,100.0,,16,,,
2001,3041,5,123,2001-05-03,5.0,,104.0,103.0,105.0,,16,,,
2001,3041,5,124,2001-05-04,3.0,,108.0,107.0,108.0,,16,,,
2004,3041,4,119,2004-04-28,1.0,,87.0,87.0,87.0,,16,,,
2004,3041,4,120,2004-04-29,1.0,,88.0,88.0,88.0,,16,,,
2004,3041,4,121,2004-04-30,2.0,,90.0,89.0,90.0,,16,129.0,0.0,1.0
2004,3041,5,122,2004-05-01,1.0,,91.0,90.0,91.0,,16,,,
2004,3041,5,123,2004-05-02,1.0,,92.0,91.0,92.0,,16,,,
2004,3041,5,124,2004-05-03,3.0,,94.0,93.0,95.0,,16,,,
2004,3041,5,125,2004-05-04,1.0,,96.0,95.0,96.0,,16,,,
2012,3041,4,119,2012-04-28,1.0,,102.0,102.0,102.0,,46,,,
2012,3041,4,120,2012-04-29,1.0,,103.0,102.0,103.0,,46,,,
2012,3041,4,121,2012-04-30,0.0,,103.0,103.0,103.0,,46,125.0,20.0,1.0
2012,3041,5,122,2012-05-01,1.0,,104.0,103.0,104.0,,46,,,
2012,3041,5,123,2012-05-02,1.0,,105.0,104.0,105.0,,46,,,
2012,3041,5,124,2012-05-03,1.0,,106.0,105.0,106.0,,46,,,
2012,3041,5,125,2012-05-04,3.0,,108.0,107.0,109.0,,46,,,
1993,3045,4,118,1993-04-28,1.0,,-258.0,-258.0,-257.0,,46,,,
1993,3045,4,119,1993-04-29,0.0,,-258.0,-258.0,-257.0,,46,,,
1993,3045,4,120,1993-04-30,1.0,,-256.0,-256.0,-256.0,,46,104.0,7.0,1.0
1993,3045,5,121,1993-05-01,0.0,,-256.0,-256.0,-256.0,,46,,,
1993,3045,5,122,1993-05-02,0.0,,-256.0,-256.0,-256.0,,46,,,
1993,3045,5,123,1993-05-03,0.0,,-256.0,-256.0,-256.0,,46,,,
1993,3045,5,124,1993-05-04,1.0,,-255.0,-255.0,-255.0,,46,,,
1997,3045,4,118,1997-04-28,7.0,,-247.0,-249.0,-244.0,,"28,46",,,
1997,3045,4,119,1997-04-29,4.0,,-240.0,-240.0,-240.0,,"28,46",,,
1997,3045,4,120,1997-04-30,0.0,,-240.0,-240.0,-240.0,,"28,46",110.0,15.0,1.0
1997,3045,5,121,1997-05-01,25.0,,-220.0,-224.0,-215.0,,47,,,
1997,3045,5,122,1997-05-02,14.0,,-205.0,-209.0,-201.0,,47,,,
1997,3045,5,123,1997-05-03,44.0,,-179.0,-200.0,-157.0,,47,,,
1997,3045,5,124,1997-05-04,44.0,,-126.0,-138.0,-113.0,0.2,23,,,
2001,3045,4,118,2001-04-28,0.0,,-248.0,-248.0,-248.0,,16,,,
2001,3045,4,119,2001-04-29,0.0,,-248.0,-248.0,-248.0,,16,,,
2001,3045,4,120,2001-04-30,1.0,,-247.0,-247.0,-247.0,,16,152.0,9.0,1.0
2001,3045,5,121,2001-05-01,0.0,,-247.0,-247.0,-247.0,,16,,,
2001,3045,5,122,2001-05-02,1.0,,-247.0,-247.0,-246.0,,16,,,
2001,3045,5,123,2001-05-03,2.0,,-244.0,-244.0,-244.0,,16,,,
2001,3045,5,124,2001-05-04,2.0,,-243.0,-243.0,-242.0,,16,,,
2004,3045,4,119,2004-04-28,1.0,,-253.0,-253.0,-253.0,,16,,,
2004,3045,4,120,2004-04-29,1.0,,-252.0,-252.0,-252.0,,16,,,
2004,3045,4,121,2004-04-30,0.0,,-252.0,-252.0,-252.0,,16,133.0,16.0,1.0
2004,3045,5,122,2004-05-01,0.0,,-252.0,-252.0,-252.0,,16,,,
2004,3045,5,123,2004-05-02,1.0,,-251.0,-251.0,-251.0,,16,,,
2004,3045,5,124,2004-05-03,0.0,,-251.0,-251.0,-251.0,,16,,,
2004,3045,5,125,2004-05-04,1.0,,-250.0,-250.0,-250.0,,16,,,
2012,3045,4,119,2012-04-28,0.0,,-265.0,-265.0,-265.0,,47,,,
2012,3045,4,120,2012-04-29,0.0,,-265.0,-265.0,-265.0,,47,,,
2012,3045,4,121,2012-04-30,0.0,,-265.0,-265.0,-265.0,,47,101.0,0.0,1.0
2012,3045,5,122,2012-05-01,-1.0,,-266.0,-266.0,-266.0,,47,,,
2012,3045,5,123,2012-05-02,1.0,,-265.0,-265.0,-265.0,,47,,,
2012,3045,5,124,2012-05-03,1.0,,-265.0,-265.0,-264.0,,47,,,
2012,3045,5,125,2012-05-04,2.0,,-263.0,-264.0,-262.0,,47,,,
1993,3050,4,118,1993-04-28,-1.0,,80.0,80.0,80.0,,46,,,
1993,3050,4,119,1993-04-29,0.0,,80.0,80.0,80.0,,46,,,
1993,3050,4,120,1993-04-30,0.0,,80.0,80.0,80.0,,46,168.0,30.0,1.0
1993,3050,5,121,1993-05-01,0.0,,80.0,80.0,80.0,,46,,,
1993,3050,5,122,1993-05-02,0.0,,80.0,80.0,80.0,,46,,,
1993,3050,5,123,1993-05-03,2.0,,81.0,80.0,82.0,,46,,,
1993,3050,5,124,1993-05-04,5.0,,86.0,85.0,87.0,,47,,,
1997,3050,4,118,1997-04-28,1.0,,126.0,126.0,126.0,,"46,47",,,
1997,3050,4,119,1997-04-29,1.0,,126.0,125.0,127.0,,"46,47",,,
1997,3050,4,120,1997-04-30,2.0,,129.0,129.0,129.0,,"46,47",152.0,,1.0
1997,3050,5,121,1997-05-01,2.0,,131.0,131.0,131.0,,47,,,
1997,3050,5,122,1997-05-02,1.0,,132.0,131.0,132.0,,47,,,
1997,3050,5,123,1997-05-03,0.0,,132.0,132.0,132.0,,47,,,
1997,3050,5,124,1997-05-04,0.0,,132.0,132.0,132.0,,47,,,
2001,3050,4,118,2001-04-28,1.0,,126.0,126.0,126.0,,16,,,
2001,3050,4,119,2001-04-29,0.0,,126.0,126.0,126.0,,16,,,
2001,3050,4,120,2001-04-30,0.0,,126.0,126.0,126.0,,16,161.0,20.0,1.0
2001,3050,5,121,2001-05-01,0.0,,126.0,126.0,126.0,,16,,,
2001,3050,5,122,2001-05-02,1.0,,127.0,126.0,127.0,,16,,,
2001,3050,5,123,2001-05-03,1.0,,128.0,127.0,128.0,,16,,,
2001,3050,5,124,2001-05-04,1.0,,129.0,129.0,129.0,,16,,,
2004,3050,4,119,2004-04-28,1.0,,99.0,99.0,99.0,,16,,,
2004,3050,4,120,2004-04-29,2.0,,101.0,101.0,101.0,,16,,,
2004,3050,4,121,2004-04-30,0.0,,101.0,101.0,101.0,,16,144.0,17.0,1.0
2004,3050,5,122,2004-05-01,-1.0,,100.0,100.0,100.0,,16,,,
2004,3050,5,123,2004-05-02,0.0,,100.0,100.0,100.0,,16,,,
2004,3050,5,124,2004-05-03,1.0,,101.0,101.0,101.0,,16,,,
2004,3050,5,125,2004-05-04,0.0,,101.0,101.0,101.0,,16,,,
2012,3050,4,119,2012-04-28,1.0,,102.0,101.0,102.0,,47,,,
2012,3050,4,120,2012-04-29,2.0,,104.0,104.0,104.0,,47,,,
2012,3050,4,121,2012-04-30,1.0,,105.0,105.0,105.0,,47,145.0,,1.0
2012,3050,5,122,2012-05-01,-1.0,,104.0,103.0,104.0,,47,,,
2012,3050,5,123,2012-05-02,1.0,,105.0,104.0,105.0,,47,,,
2012,3050,5,124,2012-05-03,1.0,,106.0,105.0,106.0,,47,,,
2012,3050,5,125,2012-05-04,2.0,,108.0,107.0,108.0,,47,,,
1993,3230,4,118,1993-04-28,0.0,,94.0,94.0,94.0,,46,,,
1993,3230,4,119,1993-04-29,0.0,,94.0,94.0,94.0,,46,,,
1993,3230,4,120,1993-04-30,1.0,,95.0,95.0,95.0,,46,145.0,22.0,1.0
1993,3230,5,121,1993-05-01,0.0,,95.0,95.0,95.0,,46,,,
1993,3230,5,122,1993-05-02,0.0,,95.0,95.0,95.0,,46,,,
1993,3230,5,123,1993-05-03,0.0,,95.0,95.0,95.0,,46,,,
1993,3230,5,124,1993-05-04,5.0,,99.0,98.0,100.0,,46,,,
1997,3230,4,118,1997-04-28,6.0,,90.0,90.0,90.0,,16,,,
1997,3230,4,119,1997-04-29,7.0,,95.0,92.0,97.0,,16,,,
1997,3230,4,120,1997-04-30,13.0,,110.0,110.0,110.0,,16,104.0,,1.0
1997,3230,5,121,1997-05-01,2.0,,111.0,110.0,112.0,,16,,,
1997,3230,5,122,1997-05-02,8.0,,118.0,115.0,120.0,,"16,47",,,
1997,3230,5,123,1997-05-03,9.0,,127.0,124.0,129.0,,47,,,
1997,3230,5,124,1997-05-04,13.0,,139.0,135.0,142.0,,"16,47",,,
2001,3230,4,118,2001-04-28,0.0,,110.0,110.0,110.0,,16,,,
2001,3230,4,119,2001-04-29,0.0,,110.0,110.0,110.0,,16,,,
2001,3230,4,120,2001-04-30,2.0,,112.0,112.0,112.0,,16,156.0,6.0,1.0
2001,3230,5,121,2001-05-01,1.0,,113.0,113.0,113.0,,16,,,
