station_id,year_GMT,month_GMT,day_GMT,synop_hour_GMT,year_local,month_local,day_local,synop_hour_local,synop_hour_order_PDZV,time_local,timezone,meteo_day_start_PDZV,source_index,horizontal_visibility,horizontal_visibility_qual,horizontal_visibility_qual_1,cloud_amount_total,cloud_amount_total_qual,cloud_amount_low_level,cloud_amount_low_level_qual,cloud_form_high_level,cloud_form_high_level_qual,cloud_form_middle_level,cloud_form_middle_level_qual,cloud_form_vertical_develop,cloud_form_vertical_develop_qual,cloud_form_strat_stratocum,cloud_form_strat_stratocum_qual,cloud_form_strat_rain,cloud_form_strat_rain_qual,cloud_base_altitude,cloud_base_altitude_qual,cloud_base_altitude_qual_1,cloud_below_station,cloud_below_station_qual,soil_surface_condition,soil_surface_condition_qual,weather_before,weather_before_qual,weather,weather_qual,wind_direction,wind_direction_qual,wind_speed_aver,wind_speed_aver_qual,wind_speed_aver_qual_1,wind_speed_max,wind_speed_max_qual,wind_speed_max_qual_1,precipitation,precipitation_qual,soil_surface_temperature,soil_surface_temperature_qual,soil_surface_alco_temperature,soil_surface_alco_temperature_qual,soil_surface_temperature_min_before,soil_surface_temperature_min_before_qual,soil_surface_temperature_max_before,soil_surface_temperature_max_before_qual,soil_surface_max_temperature,soil_surface_max_temperature_qual,air_temperature,air_temperature_qual,air_temperature_wet_bulb,air_temperature_wet_bulb_qual,air_temperature_wet_bulb_qual_1,air_temperature_min_alco_temperature,air_temperature_min_alco_temperature_qual,air_temperature_min_before,air_temperature_min_before_qual,air_temperature_max_before,air_temperature_max_before_qual,air_max_temperature,air_max_temperature_qual,water_vapour_partial_pressure,water_vapour_partial_pressure_qual,water_vapour_partial_pressure_qual_1,relative_humidity,relative_humidity_qual,vapour_pressure_deficit,vapour_pressure_deficit_qual,vapour_pressure_deficit_qual_1,dew_point_temperature,dew_point_temperature_qual,pressure,pressure_qual,pressure_sea_level,pressure_sea_level_qual,barometric_tendency_characteristic,barometric_tendency_characteristic_qual,barometric_tendency,barometric_tendency_qual,date_local
24726,2005,4,26,0,2005,4,116,0,4,9,8,20,4,97.0,0,0.0,10.0,0,8.0,0,8.0,0,1.0,0,2.0,0,0.0,0,0.0,0,540.0,0,0.0,0.0,7,3.0,0,8.0,0,85.0,0,190.0,0,3.0,0,0,6.0,0,0,0.0,0,-2.6,0,-2.6,0,-5.7,0,-2.6,0,-2.6,0,-3.6,0,-3.7,0,1,-3.6,0,-5.5,0,-3.5,0,-3.5,0,4.41,0,2,94.0,0,0.27,0,2,-4.4,0,949.0,0,992.7,0,7.0,0,1.5,0,2005-04-26
24726,2013,4,27,0,2013,4,117,0,4,9,8,20,4,94.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,1.0,0,0.0,0,110.0,0,0.0,0.0,7,3.0,0,8.0,0,26.0,0,220.0,0,2.0,0,0,4.0,0,0,1.9,0,0.5,0,0.4,0,0.0,0,0.6,0,0.6,0,0.9,0,0.9,0,0,0.9,0,0.2,0,1.0,0,1.0,0,6.52,0,2,100.0,0,0.0,0,2,0.9,0,958.4,0,1001.7,0,3.0,0,1.0,0,2013-04-27
24738,2005,4,25,0,2005,4,115,0,4,9,8,20,4,96.0,0,0.0,10.0,0,8.0,0,8.0,0,1.0,0,2.0,0,2.0,0,0.0,0,800.0,0,0.0,0.0,7,2.0,0,8.0,0,83.0,0,170.0,0,3.0,0,0,6.0,0,0,3.4,0,0.2,0,0.3,0,0.3,0,0.4,0,0.4,0,0.5,0,0.4,0,0,0.6,0,0.6,0,3.0,0,0.5,0,6.21,0,2,98.0,0,0.12,0,2,0.2,0,971.9,0,988.7,0,7.0,0,0.3,0,2005-04-25
24738,2013,4,27,0,2013,4,117,0,4,9,8,20,4,96.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,0.0,0,0.0,0,460.0,0,0.0,0.0,7,3.0,0,8.0,0,83.0,0,140.0,0,3.0,0,0,7.0,0,0,0.9,0,-0.3,0,-0.3,0,-2.3,0,1.6,0,-0.2,0,1.4,0,1.2,0,0,1.5,0,1.5,0,1.8,0,1.5,0,6.5,0,2,96.0,0,0.26,0,2,0.9,0,986.6,0,1003.5,0,4.0,0,0.0,0,2013-04-27
24763,2013,4,21,0,2013,4,111,0,4,9,8,20,4,32.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,0.0,0,0.0,0,2.0,0,900.0,0,1.0,0.0,7,3.0,0,7.0,0,73.0,0,90.0,0,4.0,0,0,6.0,0,0,1.0,0,0.1,0,0.0,0,0.0,0,1.4,0,0.2,0,0.7,0,0.7,0,0,0.7,0,0.7,0,4.3,0,0.8,0,6.45,0,2,100.0,0,0.0,0,2,0.7,0,987.5,0,1001.6,0,3.0,0,0.8,0,2013-04-21
24817,2005,4,22,0,2005,4,112,0,4,8,7,19,4,96.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,0.0,0,0.0,0,330.0,0,0.0,0.0,7,3.0,0,8.0,0,83.0,0,340.0,0,2.0,0,0,5.0,0,0,5.0,0,0.0,0,-0.1,0,-0.1,0,0.3,0,0.3,0,0.9,0,0.5,0,0,0.7,0,0.4,0,1.0,0,1.0,0,6.01,0,2,92.0,0,0.51,0,2,-0.2,0,971.9,0,1007.6,0,3.0,0,2.1,0,2005-04-22
24817,2013,4,27,0,2013,4,117,0,4,8,7,19,4,96.0,0,0.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,0.0,0,0.0,0,500.0,0,1.0,0.0,7,3.0,0,8.0,0,83.0,0,180.0,0,2.0,0,0,4.0,0,0,2.5,0,-2.3,0,-2.4,0,-4.1,0,-2.1,0,-2.3,0,0.7,0,0.5,0,0,0.7,0,-0.3,0,0.8,0,0.8,0,6.2,0,2,97.0,0,0.25,0,2,0.2,0,967.3,0,1001.7,0,3.0,0,0.8,0,2013-04-27
24923,1989,4,24,0,1989,4,114,3,4,9,8,21,4,98.0,0,1.0,10.0,0,10.0,0,8.0,0,8.0,0,2.0,0,2.0,0,0.0,0,760.0,0,0.0,0.0,7,4.0,0,8.0,0,85.0,0,10.0,0,3.0,0,0,8.0,0,0,0.3,0,-8.4,0,-8.4,0,-14.2,0,-8.4,0,-8.4,0,-7.1,0,-7.7,0,1,-7.1,0,-7.6,0,-6.3,0,-7.1,0,2.76,0,2,77.0,0,0.83,0,2,-10.5,0,995.5,0,1026.8,0,2.0,0,1.9,0,1989-04-24
24923,1989,4,26,0,1989,4,116,3,4,9,8,21,4,97.0,0,1.0,10.0,0,4.0,0,8.0,0,2.0,0,2.0,0,0.0,0,0.0,0,900.0,0,0.0,0.0,7,8.0,0,8.0,0,85.0,0,60.0,0,3.0,0,0,6.0,0,0,3.6,0,-4.5,0,-4.5,0,-6.8,0,-4.3,0,-4.5,0,-5.5,0,-5.6,0,1,-5.5,0,-6.3,0,-5.5,0,-5.5,0,3.74,0,2,92.0,0,0.32,0,2,-6.6,0,995.8,0,1026.9,0,7.0,0,1.2,0,1989-04-26
24923,2003,4,21,0,2003,4,111,0,4,9,8,20,4,98.0,0,1.0,10.0,0,5.0,0,8.0,0,1.0,0,2.0,0,0.0,0,0.0,0,560.0,0,0.0,0.0,7,8.0,0,8.0,0,85.0,0,300.0,0,3.0,0,0,12.0,0,0,2.6,0,-0.5,0,-0.6,0,-1.1,0,0.0,0,-0.3,0,-3.0,0,-3.6,0,1,-2.8,0,-2.9,0,1.5,0,-2.7,0,4.1,0,2,84.0,0,0.8,0,2,-5.4,0,972.2,0,1002.3,0,3.0,0,4.0,0,2003-04-21
