snow_height,snow_coverage_station,station_id,date
71.5,10.0,3029,1985-03-08
71.5,10.0,3029,1985-03-09
71.5,10.0,3029,1985-03-10
72.0,10.0,3029,1985-03-11
72.0,10.0,3029,1985-03-12
73.5,10.0,3029,1985-03-13
74.5,10.0,3029,1985-03-14
73.5,10.0,3029,1985-03-15
73.5,10.0,3029,1985-03-16
73.5,10.0,3029,1985-03-17
75.5,10.0,3029,1985-03-18
75.5,10.0,3029,1985-03-19
75.0,10.0,3029,1985-03-20
76.0,10.0,3029,1985-03-21
75.5,10.0,3029,1985-03-22
75.0,10.0,3029,1985-03-23
74.0,10.0,3029,1985-03-24
74.0,10.0,3029,1985-03-25
75.0,10.0,3029,1985-03-26
76.5,10.0,3029,1985-03-27
75.0,10.0,3029,1985-03-28
74.0,10.0,3029,1985-03-29
74.5,10.0,3029,1985-03-30
73.0,10.0,3029,1985-03-31
72.5,10.0,3029,1985-04-01
72.5,10.0,3029,1985-04-02
72.5,10.0,3029,1985-04-03
72.5,10.0,3029,1985-04-04
72.0,10.0,3029,1985-04-05
73.0,10.0,3029,1985-04-06
76.0,10.0,3029,1985-04-07
76.0,10.0,3029,1985-04-08
76.0,10.0,3029,1985-04-09
76.0,10.0,3029,1985-04-10
77.0,10.0,3029,1985-04-11
76.5,10.0,3029,1985-04-12
75.5,10.0,3029,1985-04-13
73.5,10.0,3029,1985-04-14
65.0,10.0,3029,1985-04-15
60.5,10.0,3029,1985-04-16
45.5,10.0,3029,1985-04-17
39.5,10.0,3029,1985-04-18
35.0,10.0,3029,1985-04-19
28.0,8.0,3029,1985-04-20
21.5,7.5,3029,1985-04-21
16.5,7.5,3029,1985-04-22
16.0,9.0,3029,1985-04-23
12.0,7.0,3029,1985-04-24
8.5,5.0,3029,1985-04-25
4.0,3.5,3029,1985-04-26
5.0,6.5,3029,1985-04-27
4.0,3.0,3029,1985-04-28
1.0,2.0,3029,1985-04-29
6.5,5.5,3029,1985-04-30
1.0,6.5,3029,1985-05-01
0.0,2.0,3029,1985-05-02
0.0,1.5,3029,1985-05-03
0.0,1.5,3029,1985-05-04
0.0,0.5,3029,1985-05-05
0.0,0.5,3029,1985-05-06
0.0,0.5,3029,1985-05-07
0.0,0.5,3029,1985-05-08
0.0,0.5,3029,1985-05-09
0.0,0.0,3029,1985-05-10
0.0,0.0,3029,1985-05-11
0.0,0.0,3029,1985-05-12
0.0,0.0,3029,1985-05-13
0.0,0.0,3029,1985-05-14
0.0,0.0,3029,1985-05-15
0.0,0.0,3029,1985-05-16
0.0,0.0,3029,1985-05-17
0.0,0.0,3029,1985-05-18
0.0,0.0,3029,1985-05-19
0.0,0.0,3029,1985-05-20
0.0,0.0,3029,1985-05-21
0.0,0.0,3029,1985-05-22
0.0,0.0,3029,1985-05-23
0.0,0.0,3029,1985-05-24
0.0,0.0,3029,1985-05-25
0.0,0.0,3029,1985-05-26
0.0,0.0,3029,1985-05-27
0.0,0.0,3029,1985-05-28
0.0,0.0,3029,1985-05-29
0.0,0.0,3029,1985-05-30
0.0,0.0,3029,1985-05-31
0.0,0.0,3029,1985-06-01
0.0,0.0,3029,1985-06-02
0.0,0.0,3029,1985-06-03
0.0,0.0,3029,1985-06-04
0.0,0.0,3029,1985-06-05
0.0,0.0,3029,1985-06-06
0.0,0.0,3029,1985-06-07
0.0,0.0,3029,1985-06-08
0.0,0.0,3029,1985-06-09
0.0,0.0,3029,1985-06-10
0.0,0.0,3029,1985-06-11
0.0,0.0,3029,1985-06-12
0.0,0.0,3029,1985-06-13
0.0,0.0,3029,1985-06-14
0.0,0.0,3029,1985-06-15
0.0,0.0,3029,1985-06-16
0.0,0.0,3029,1985-06-17
0.0,0.0,3029,1985-06-18
0.0,0.0,3029,1985-06-19
0.0,0.0,3029,1985-06-20
0.0,0.0,3029,1985-06-21
0.0,0.0,3029,1985-06-22
0.0,0.0,3029,1985-06-23
0.0,0.0,3029,1985-06-24
0.0,0.0,3029,1985-06-25
0.0,0.0,3029,1985-06-26
0.0,0.0,3029,1985-06-27
0.0,0.0,3029,1985-06-28
0.0,0.0,3029,1985-06-29
0.0,0.0,3029,1985-06-30
0.0,0.0,3029,1985-07-01
0.0,0.0,3029,1985-07-02
0.0,0.0,3029,1985-07-03
0.0,0.0,3029,1985-07-04
0.0,0.0,3029,1985-07-05
0.0,0.0,3029,1985-07-06
0.0,0.0,3029,1985-07-07
0.0,0.0,3029,1985-07-08
0.0,0.0,3029,1985-07-09
0.0,0.0,3029,1985-07-10
0.0,0.0,3029,1985-07-11
0.0,0.0,3029,1985-07-12
0.0,0.0,3029,1985-07-13
0.0,0.0,3029,1985-07-14
0.0,0.0,3029,1985-07-15
0.0,0.0,3029,1985-07-16
0.0,0.0,3029,1985-07-17
0.0,0.0,3029,1985-07-18
0.0,0.0,3029,1985-07-19
0.0,0.0,3029,1985-07-20
0.0,0.0,3029,1985-07-21
0.0,0.0,3029,1985-07-22
0.0,0.0,3029,1985-07-23
0.0,0.0,3029,1985-07-24
0.0,0.0,3029,1985-07-25
0.0,0.0,3029,1985-07-26
0.0,0.0,3029,1985-07-27
0.0,0.0,3029,1985-07-28
0.0,0.0,3029,1985-07-29
0.0,0.0,3029,1985-07-30
0.0,0.0,3029,1985-07-31
0.0,0.0,3029,1985-08-01
0.0,0.0,3029,1985-08-02
0.0,0.0,3029,1985-08-03
0.0,0.0,3029,1985-08-04
0.0,0.0,3029,1985-08-05
0.0,0.0,3029,1985-08-06
0.0,0.0,3029,1985-08-07
0.0,0.0,3029,1985-08-08
0.0,0.0,3029,1985-08-09
0.0,0.0,3029,1985-08-10
0.0,0.0,3029,1985-08-11
0.0,0.0,3029,1985-08-12
0.0,0.0,3029,1985-08-13
0.0,0.0,3029,1985-08-14
0.0,0.0,3029,1985-08-15
0.0,0.0,3029,1985-08-16
0.0,0.0,3029,1985-08-17
0.0,0.0,3029,1985-08-18
0.0,0.0,3029,1985-08-19
0.0,0.0,3029,1985-08-20
0.0,0.0,3029,1985-08-21
0.0,0.0,3029,1985-08-22
0.0,0.0,3029,1985-08-23
0.0,0.0,3029,1985-08-24
0.0,0.0,3029,1985-08-25
0.0,0.0,3029,1985-08-26
0.0,0.0,3029,1985-08-27
0.0,0.0,3029,1985-08-28
0.0,0.0,3029,1985-08-29
0.0,0.0,3029,1985-08-30
0.0,0.0,3029,1985-08-31
0.0,0.0,3029,1985-09-01
0.0,0.0,3029,1985-09-02
0.0,0.0,3029,1985-09-03
0.0,0.0,3029,1985-09-04
0.0,0.0,3029,1985-09-05
0.0,0.0,3029,1985-09-06
0.0,0.0,3029,1985-09-07
0.0,0.0,3029,1985-09-08
0.0,0.0,3029,1985-09-09
0.0,0.0,3029,1985-09-10
0.0,0.0,3029,1985-09-11
0.0,0.0,3029,1985-09-12
0.0,0.0,3029,1985-09-13
0.0,0.0,3029,1985-09-14
0.0,0.0,3029,1985-09-15
0.0,0.0,3029,1985-09-16
0.0,8.5,3029,1985-09-17
2.0,10.0,3029,1985-09-18
9.5,10.0,3029,1985-09-19
4.5,10.0,3029,1985-09-20
0.0,0.5,3029,1985-09-21
0.0,0.0,3029,1985-09-22
0.0,5.0,3029,1985-09-23
0.0,4.0,3029,1985-09-24
0.0,0.0,3029,1985-09-25
0.0,0.0,3029,1985-09-26
0.0,0.0,3029,1985-09-27
0.0,0.0,3029,1985-09-28
0.0,0.0,3029,1985-09-29
0.0,0.0,3029,1985-09-30
0.0,0.0,3029,1985-10-01
0.0,0.0,3029,1985-10-02
0.0,0.0,3029,1985-10-03
0.0,0.0,3029,1985-10-04
0.5,5.0,3029,1985-10-05
0.0,0.0,3029,1985-10-06
0.0,0.0,3029,1985-10-07
1.0,10.0,3029,1985-10-08
0.5,5.0,3029,1985-10-09
0.0,0.0,3029,1985-10-10
5.5,5.0,3029,1985-10-11
3.5,5.0,3029,1985-10-12
3.0,5.0,3029,1985-10-13
6.0,10.0,3029,1985-10-14
11.5,10.0,3029,1985-10-15
12.5,10.0,3029,1985-10-16
12.5,10.0,3029,1985-10-17
12.0,10.0,3029,1985-10-18
12.0,10.0,3029,1985-10-19
15.5,10.0,3029,1985-10-20
14.5,10.0,3029,1985-10-21
14.5,10.0,3029,1985-10-22
16.0,10.0,3029,1985-10-23
16.0,10.0,3029,1985-10-24
17.0,10.0,3029,1985-10-25
18.0,10.0,3029,1985-10-26
19.0,10.0,3029,1985-10-27
19.5,10.0,3029,1985-10-28
19.0,10.0,3029,1985-10-29
22.0,10.0,3029,1985-10-30
22.0,10.0,3029,1985-10-31
18.5,10.0,3029,1985-11-01
17.5,10.0,3029,1985-11-02
16.5,10.0,3029,1985-11-03
17.0,10.0,3029,1985-11-04
20.5,10.0,3029,1985-11-05
22.5,10.0,3029,1985-11-06
18.5,10.0,3029,1985-11-07
19.5,10.0,3029,1985-11-08
22.0,10.0,3029,1985-11-09
22.5,10.0,3029,1985-11-10
28.0,10.0,3029,1985-11-11
28.5,10.0,3029,1985-11-12
28.0,10.0,3029,1985-11-13
28.0,10.0,3029,1985-11-14
28.0,10.0,3029,1985-11-15
32.0,10.0,3029,1985-11-16
32.0,10.0,3029,1985-11-17
31.5,10.0,3029,1985-11-18
31.0,10.0,3029,1985-11-19
30.5,10.0,3029,1985-11-20
30.5,10.0,3029,1985-11-21
31.0,10.0,3029,1985-11-22
30.5,10.0,3029,1985-11-23
31.0,10.0,3029,1985-11-24
30.5,10.0,3029,1985-11-25
29.5,10.0,3029,1985-11-26
29.0,10.0,3029,1985-11-27
29.5,10.0,3029,1985-11-28
29.5,10.0,3029,1985-11-29
30.0,10.0,3029,1985-11-30
29.5,10.0,3029,1985-12-01
27.0,10.0,3029,1985-12-02
30.0,10.0,3029,1985-12-03
30.0,10.0,3029,1985-12-04
31.5,10.0,3029,1985-12-05
31.5,10.0,3029,1985-12-06
31.0,10.0,3029,1985-12-07
31.0,10.0,3029,1985-12-08
31.0,10.0,3029,1985-12-09
31.5,10.0,3029,1985-12-10
31.5,10.0,3029,1985-12-11
32.0,10.0,3029,1985-12-12
32.0,10.0,3029,1985-12-13
32.5,10.0,3029,1985-12-14
33.0,10.0,3029,1985-12-15
33.5,10.0,3029,1985-12-16
33.5,10.0,3029,1985-12-17
35.0,10.0,3029,1985-12-18
36.0,10.0,3029,1985-12-19
36.5,10.0,3029,1985-12-20
37.0,10.0,3029,1985-12-21
37.5,10.0,3029,1985-12-22
38.5,10.0,3029,1985-12-23
39.0,10.0,3029,1985-12-24
39.5,10.0,3029,1985-12-25
43.0,10.0,3029,1985-12-26
49.5,10.0,3029,1985-12-27
48.5,10.0,3029,1985-12-28
50.0,10.0,3029,1985-12-29
50.0,10.0,3029,1985-12-30
50.5,10.0,3029,1985-12-31
50.0,10.0,3029,1986-01-01
49.0,10.0,3029,1986-01-02
48.0,10.0,3029,1986-01-03
49.0,10.0,3029,1986-01-04
48.5,10.0,3029,1986-01-05
49.0,10.0,3029,1986-01-06
49.5,10.0,3029,1986-01-07
49.5,10.0,3029,1986-01-08
49.5,10.0,3029,1986-01-09
49.5,10.0,3029,1986-01-10
51.5,10.0,3029,1986-01-11
50.5,10.0,3029,1986-01-12
52.0,10.0,3029,1986-01-13
52.5,10.0,3029,1986-01-14
52.5,10.0,3029,1986-01-15
52.0,10.0,3029,1986-01-16
52.5,10.0,3029,1986-01-17
52.0,10.0,3029,1986-01-18
52.5,10.0,3029,1986-01-19
53.0,10.0,3029,1986-01-20
54.5,10.0,3029,1986-01-21
55.0,10.0,3029,1986-01-22
55.0,10.0,3029,1986-01-23
55.5,10.0,3029,1986-01-24
55.5,10.0,3029,1986-01-25
55.5,10.0,3029,1986-01-26
56.5,10.0,3029,1986-01-27
57.0,10.0,3029,1986-01-28
57.0,10.0,3029,1986-01-29
57.0,10.0,3029,1986-01-30
57.0,10.0,3029,1986-01-31
57.5,10.0,3029,1986-02-01
57.0,10.0,3029,1986-02-02
56.5,10.0,3029,1986-02-03
56.0,10.0,3029,1986-02-04
56.0,10.0,3029,1986-02-05
56.0,10.0,3029,1986-02-06
55.5,10.0,3029,1986-02-07
55.5,10.0,3029,1986-02-08
56.5,10.0,3029,1986-02-09
56.0,10.0,3029,1986-02-10
56.5,10.0,3029,1986-02-11
58.0,10.0,3029,1986-02-12
58.5,10.0,3029,1986-02-13
58.5,10.0,3029,1986-02-14
58.0,10.0,3029,1986-02-15
57.5,10.0,3029,1986-02-16
58.5,10.0,3029,1986-02-17
59.0,10.0,3029,1986-02-18
60.0,10.0,3029,1986-02-19
59.0,10.0,3029,1986-02-20
58.5,10.0,3029,1986-02-21
59.0,10.0,3029,1986-02-22
59.0,10.0,3029,1986-02-23
58.5,10.0,3029,1986-02-24
59.0,10.0,3029,1986-02-25
59.0,10.0,3029,1986-02-26
58.5,10.0,3029,1986-02-27
56.5,10.0,3029,1986-02-28
59.0,10.0,3029,1986-03-01
57.5,10.0,3029,1986-03-02
57.5,10.0,3029,1986-03-03
58.0,10.0,3029,1986-03-04
59.5,10.0,3029,1986-03-05
58.5,10.0,3029,1986-03-06
58.5,10.0,3029,1986-03-07
58.0,10.0,3029,1986-03-08
59.5,10.0,3029,1986-03-09
58.5,10.0,3029,1986-03-10
58.5,10.0,3029,1986-03-11
57.5,10.0,3029,1986-03-12
58.5,10.0,3029,1986-03-13
58.5,10.0,3029,1986-03-14
57.5,10.0,3029,1986-03-15
57.0,10.0,3029,1986-03-16
57.5,10.0,3029,1986-03-17
56.5,10.0,3029,1986-03-18
56.0,10.0,3029,1986-03-19
54.0,10.0,3029,1986-03-20
58.5,10.0,3029,1986-03-21
58.0,10.0,3029,1986-03-22
58.0,10.0,3029,1986-03-23
57.5,10.0,3029,1986-03-24
57.5,10.0,3029,1986-03-25
57.5,10.0,3029,1986-03-26
57.5,10.0,3029,1986-03-27
58.5,10.0,3029,1986-03-28
58.0,10.0,3029,1986-03-29
57.5,10.0,3029,1986-03-30
57.5,10.0,3029,1986-03-31
57.5,10.0,3029,1986-04-01
59.5,10.0,3029,1986-04-02
60.0,10.0,3029,1986-04-03
62.0,10.0,3029,1986-04-04
61.5,10.0,3029,1986-04-05
61.5,10.0,3029,1986-04-06
61.0,10.0,3029,1986-04-07
61.0,10.0,3029,1986-04-08
61.0,10.0,3029,1986-04-09
62.0,10.0,3029,1986-04-10
61.0,10.0,3029,1986-04-11
61.5,10.0,3029,1986-04-12
60.0,10.0,3029,1986-04-13
61.0,10.0,3029,1986-04-14
58.5,10.0,3029,1986-04-15
58.5,10.0,3029,1986-04-16
60.0,10.0,3029,1986-04-17
59.0,10.0,3029,1986-04-18
58.5,10.0,3029,1986-04-19
57.5,10.0,3029,1986-04-20
57.5,10.0,3029,1986-04-21
54.5,10.0,3029,1986-04-22
47.0,10.0,3029,1986-04-23
37.5,9.5,3029,1986-04-24
32.5,9.0,3029,1986-04-25
24.5,9.0,3029,1986-04-26
20.5,8.0,3029,1986-04-27
9.5,6.5,3029,1986-04-28
6.5,5.0,3029,1986-04-29
0.0,3.5,3029,1986-04-30
0.0,3.0,3029,1986-05-01
0.0,2.5,3029,1986-05-02
0.0,2.0,3029,1986-05-03
0.0,2.0,3029,1986-05-04
0.0,1.5,3029,1986-05-05
0.0,1.5,3029,1986-05-06
0.5,6.0,3029,1986-05-07
0.5,5.5,3029,1986-05-08
0.0,1.0,3029,1986-05-09
0.0,1.0,3029,1986-05-10
0.0,1.0,3029,1986-05-11
0.0,1.0,3029,1986-05-12
0.0,0.0,3029,1986-05-13
0.0,0.0,3029,1986-05-14
0.0,0.0,3029,1986-05-15
0.0,0.0,3029,1986-05-16
0.0,0.0,3029,1986-05-17
0.0,0.0,3029,1986-05-18
0.0,0.0,3029,1986-05-19
0.0,0.0,3029,1986-05-20
0.0,0.0,3029,1986-05-21
0.0,0.0,3029,1986-05-22
0.0,0.0,3029,1986-05-23
0.0,0.0,3029,1986-05-24
0.0,0.0,3029,1986-05-25
0.0,0.0,3029,1986-05-26
0.0,0.0,3029,1986-05-27
0.0,0.0,3029,1986-05-28
0.0,0.0,3029,1986-05-29
0.0,0.0,3029,1986-05-30
0.0,0.0,3029,1986-05-31
0.0,0.0,3029,1986-06-01
0.0,0.0,3029,1986-06-02
0.0,0.0,3029,1986-06-03
0.0,0.0,3029,1986-06-04
0.0,0.0,3029,1986-06-05
0.0,0.0,3029,1986-06-06
0.0,0.0,3029,1986-06-07
0.0,0.0,3029,1986-06-08
0.0,0.0,3029,1986-06-09
0.0,0.0,3029,1986-06-10
0.0,0.0,3029,1986-06-11
0.0,0.0,3029,1986-06-12
0.0,0.0,3029,1986-06-13
0.0,0.0,3029,1986-06-14
0.0,0.0,3029,1986-06-15
0.0,0.0,3029,1986-06-16
0.0,0.0,3029,1986-06-17
0.0,0.0,3029,1986-06-18
0.0,0.0,3029,1986-06-19
0.0,0.0,3029,1986-06-20
0.0,0.0,3029,1986-06-21
0.0,0.0,3029,1986-06-22
0.0,0.0,3029,1986-06-23
0.0,0.0,3029,1986-06-24
0.0,0.0,3029,1986-06-25
0.0,0.0,3029,1986-06-26
0.0,0.0,3029,1986-06-27
0.0,0.0,3029,1986-06-28
0.0,0.0,3029,1986-06-29
0.0,0.0,3029,1986-06-30
0.0,0.0,3029,1986-07-01
0.0,0.0,3029,1986-07-02
0.0,0.0,3029,1986-07-03
0.0,0.0,3029,1986-07-04
0.0,0.0,3029,1986-07-05
0.0,0.0,3029,1986-07-06
0.0,0.0,3029,1986-07-07
0.0,0.0,3029,1986-07-08
0.0,0.0,3029,1986-07-09
0.0,0.0,3029,1986-07-10
0.0,0.0,3029,1986-07-11
0.0,0.0,3029,1986-07-12
0.0,0.0,3029,1986-07-13
0.0,0.0,3029,1986-07-14
0.0,0.0,3029,1986-07-15
0.0,0.0,3029,1986-07-16
0.0,0.0,3029,1986-07-17
0.0,0.0,3029,1986-07-18
0.0,0.0,3029,1986-07-19
0.0,0.0,3029,1986-07-20
0.0,0.0,3029,1986-07-21
0.0,0.0,3029,1986-07-22
0.0,0.0,3029,1986-07-23
0.0,0.0,3029,1986-07-24
0.0,0.0,3029,1986-07-25
0.0,0.0,3029,1986-07-26
0.0,0.0,3029,1986-07-27
0.0,0.0,3029,1986-07-28
0.0,0.0,3029,1986-07-29
0.0,0.0,3029,1986-07-30
0.0,0.0,3029,1986-07-31
0.0,0.0,3029,1986-08-01
0.0,0.0,3029,1986-08-02
0.0,0.0,3029,1986-08-03
0.0,0.0,3029,1986-08-04
0.0,0.0,3029,1986-08-05
0.0,0.0,3029,1986-08-06
0.0,0.0,3029,1986-08-07
0.0,0.0,3029,1986-08-08
0.0,0.0,3029,1986-08-09
0.0,0.0,3029,1986-08-10
0.0,0.0,3029,1986-08-11
0.0,0.0,3029,1986-08-12
0.0,0.0,3029,1986-08-13
0.0,0.0,3029,1986-08-14
0.0,0.0,3029,1986-08-15
0.0,0.0,3029,1986-08-16
0.0,0.0,3029,1986-08-17
0.0,0.0,3029,1986-08-18
0.0,0.0,3029,1986-08-19
0.0,0.0,3029,1986-08-20
0.0,0.0,3029,1986-08-21
0.0,0.0,3029,1986-08-22
0.0,0.0,3029,1986-08-23
0.0,0.0,3029,1986-08-24
0.0,0.0,3029,1986-08-25
0.0,0.0,3029,1986-08-26
0.0,0.0,3029,1986-08-27
0.0,0.0,3029,1986-08-28
0.0,0.0,3029,1986-08-29
0.0,0.0,3029,1986-08-30
0.0,0.0,3029,1986-08-31
0.0,0.0,3029,1986-09-01
0.0,0.0,3029,1986-09-02
0.0,0.0,3029,1986-09-03
0.0,0.0,3029,1986-09-04
0.0,0.0,3029,1986-09-05
0.0,0.0,3029,1986-09-06
0.0,0.0,3029,1986-09-07
0.0,0.0,3029,1986-09-08
0.0,0.0,3029,1986-09-09
0.0,0.0,3029,1986-09-10
0.0,0.0,3029,1986-09-11
0.0,0.0,3029,1986-09-12
0.0,0.0,3029,1986-09-13
0.0,0.0,3029,1986-09-14
0.0,0.0,3029,1986-09-15
0.0,0.0,3029,1986-09-16
0.0,0.0,3029,1986-09-17
0.0,0.0,3029,1986-09-18
0.0,0.0,3029,1986-09-19
0.0,0.0,3029,1986-09-20
0.0,0.0,3029,1986-09-21
0.0,0.0,3029,1986-09-22
0.0,0.0,3029,1986-09-23
0.0,0.0,3029,1986-09-24
0.0,0.0,3029,1986-09-25
0.0,0.0,3029,1986-09-26
0.0,0.0,3029,1986-09-27
0.0,0.0,3029,1986-09-28
0.0,0.0,3029,1986-09-29
0.0,0.0,3029,1986-09-30
0.0,0.0,3029,1986-10-01
0.0,0.0,3029,1986-10-02
0.0,0.0,3029,1986-10-03
0.0,0.0,3029,1986-10-04
0.0,0.0,3029,1986-10-05
0.0,0.0,3029,1986-10-06
0.0,0.0,3029,1986-10-07
0.0,0.0,3029,1986-10-08
0.0,0.0,3029,1986-10-09
0.0,0.0,3029,1986-10-10
0.0,4.0,3029,1986-10-11
0.5,10.0,3029,1986-10-12
6.0,8.5,3029,1986-10-13
6.5,5.0,3029,1986-10-14
6.0,10.0,3029,1986-10-15
6.0,5.0,3029,1986-10-16
5.5,5.0,3029,1986-10-17
7.5,10.0,3029,1986-10-18
8.5,10.0,3029,1986-10-19
11.0,10.0,3029,1986-10-20
10.0,10.0,3029,1986-10-21
9.5,10.0,3029,1986-10-22
10.0,10.0,3029,1986-10-23
13.5,10.0,3029,1986-10-24
15.5,10.0,3029,1986-10-25
16.5,10.0,3029,1986-10-26
21.0,10.0,3029,1986-10-27
20.5,10.0,3029,1986-10-28
17.5,10.0,3029,1986-10-29
18.5,10.0,3029,1986-10-30
19.0,10.0,3029,1986-10-31
21.5,10.0,3029,1986-11-01
22.0,10.0,3029,1986-11-02
22.0,10.0,3029,1986-11-03
23.0,10.0,3029,1986-11-04
23.0,10.0,3029,1986-11-05
24.0,10.0,3029,1986-11-06
27.0,10.0,3029,1986-11-07
29.0,10.0,3029,1986-11-08
30.5,10.0,3029,1986-11-09
31.0,10.0,3029,1986-11-10
31.0,10.0,3029,1986-11-11
31.0,10.0,3029,1986-11-12
31.0,10.0,3029,1986-11-13
31.5,10.0,3029,1986-11-14
30.0,10.0,3029,1986-11-15
30.5,10.0,3029,1986-11-16
30.5,10.0,3029,1986-11-17
30.5,10.0,3029,1986-11-18
33.0,10.0,3029,1986-11-19
35.0,10.0,3029,1986-11-20
35.5,10.0,3029,1986-11-21
35.5,10.0,3029,1986-11-22
33.0,10.0,3029,1986-11-23
35.0,10.0,3029,1986-11-24
34.5,10.0,3029,1986-11-25
35.0,10.0,3029,1986-11-26
35.0,10.0,3029,1986-11-27
35.5,10.0,3029,1986-11-28
35.5,10.0,3029,1986-11-29
37.5,10.0,3029,1986-11-30
37.5,10.0,3029,1986-12-01
36.0,10.0,3029,1986-12-02
36.5,10.0,3029,1986-12-03
37.0,10.0,3029,1986-12-04
38.5,10.0,3029,1986-12-05
38.5,10.0,3029,1986-12-06
38.5,10.0,3029,1986-12-07
36.5,10.0,3029,1986-12-08
36.5,10.0,3029,1986-12-09
38.0,10.0,3029,1986-12-10
37.0,10.0,3029,1986-12-11
37.5,10.0,3029,1986-12-12
37.5,10.0,3029,1986-12-13
39.0,10.0,3029,1986-12-14
39.5,10.0,3029,1986-12-15
39.5,10.0,3029,1986-12-16
40.0,10.0,3029,1986-12-17
41.5,10.0,3029,1986-12-18
41.5,10.0,3029,1986-12-19
40.5,10.0,3029,1986-12-20
41.0,10.0,3029,1986-12-21
42.0,10.0,3029,1986-12-22
42.0,10.0,3029,1986-12-23
42.0,10.0,3029,1986-12-24
42.0,10.0,3029,1986-12-25
42.0,10.0,3029,1986-12-26
42.0,10.0,3029,1986-12-27
42.0,10.0,3029,1986-12-28
42.0,10.0,3029,1986-12-29
42.0,10.0,3029,1986-12-30
42.0,10.0,3029,1986-12-31
42.0,10.0,3029,1987-01-01
42.0,10.0,3029,1987-01-02
42.5,10.0,3029,1987-01-03
42.5,10.0,3029,1987-01-04
42.5,10.0,3029,1987-01-05
42.5,10.0,3029,1987-01-06
43.0,10.0,3029,1987-01-07
43.0,10.0,3029,1987-01-08
43.0,10.0,3029,1987-01-09
43.0,10.0,3029,1987-01-10
43.0,10.0,3029,1987-01-11
43.5,10.0,3029,1987-01-12
50.0,10.0,3029,1987-01-13
50.0,10.0,3029,1987-01-14
50.5,10.0,3029,1987-01-15
49.5,10.0,3029,1987-01-16
50.0,10.0,3029,1987-01-17
50.0,10.0,3029,1987-01-18
50.0,10.0,3029,1987-01-19
49.5,10.0,3029,1987-01-20
49.5,10.0,3029,1987-01-21
49.0,10.0,3029,1987-01-22
48.0,10.0,3029,1987-01-23
48.0,10.0,3029,1987-01-24
49.5,10.0,3029,1987-01-25
49.5,10.0,3029,1987-01-26
54.0,10.0,3029,1987-01-27
50.0,10.0,3029,1987-01-28
51.0,10.0,3029,1987-01-29
51.0,10.0,3029,1987-01-30
51.0,10.0,3029,1987-01-31
53.0,10.0,3029,1987-02-01
52.5,10.0,3029,1987-02-02
52.0,10.0,3029,1987-02-03
51.0,10.0,3029,1987-02-04
51.0,10.0,3029,1987-02-05
54.5,10.0,3029,1987-02-06
55.0,10.0,3029,1987-02-07
54.0,10.0,3029,1987-02-08
55.0,10.0,3029,1987-02-09
55.0,10.0,3029,1987-02-10
55.5,10.0,3029,1987-02-11
55.5,10.0,3029,1987-02-12
55.0,10.0,3029,1987-02-13
55.0,10.0,3029,1987-02-14
